congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
113,President,100,Democrat,1,-0.354,-0.203,-0.354,-0.203
113,House,100,Democrat,204,-0.3945,-0.0795,-0.38427451,-0.071068627
113,House,200,Republican,240,0.4915,0.082,0.483075,0.043266667
113,Senate,100,Democrat,57,-0.33,-0.12,-0.327491228,-0.078824561
113,Senate,200,Republican,46,0.419,-0.0075,0.471173913,-0.040782609
113,Senate,328,Independent,2,-0.3425,-0.3015,-0.3425,-0.3015
114,House,100,Democrat,190,-0.398,-0.079,-0.394947368,-0.077942105
114,House,200,Republican,251,0.491,0.079,0.481844622,0.041896414
114,Senate,100,Democrat,44,-0.336,-0.1515,-0.334909091,-0.127068182
114,Senate,200,Republican,54,0.447,-0.02,0.480259259,-0.052833333
114,Senate,328,Independent,2,-0.3425,-0.3015,-0.3425,-0.3015
115,President,200,Republican,1,,,,
115,House,100,Democrat,200,-0.396,-0.0745,-0.391215,-0.05446
115,House,200,Republican,250,0.506,0.075,0.490228,0.040856
115,Senate,100,Democrat,48,-0.3375,-0.1345,-0.336604167,-0.105604167
115,Senate,200,Republican,55,0.463,-0.01,0.490581818,-0.024781818
115,Senate,328,Independent,2,-0.3425,-0.3015,-0.3425,-0.3015
116,House,100,Democrat,237,-0.3795,-0.012,-0.369483051,0.00595339
116,House,200,Republican,206,0.517,0.1065,0.503694175,0.066218447
116,House,328,Independent,1,0.356,-0.935,0.356,-0.935
116,Senate,100,Democrat,46,-0.342,-0.139,-0.345911111,-0.127577778
116,Senate,200,Republican,54,0.4725,0.0155,0.496166667,0.036740741
116,Senate,328,Independent,2,-0.3425,-0.3015,-0.3425,-0.3015
